JVM,x86,x86-64,SPARC,MIPS,Itanium,Power ISA,ARM,Alpha,S/390,z/Architecture,m68k
GCJ,,,,,,,,,,,
"HotSpot, OpenJDK edition",,,Solaris only[33],Port[34][35],,PowerPC/AIX port[36],,,,,
"HotSpot, Oracle JDK edition",,,Solaris only[33],,Java 1.6[37],,,,,,
"HotSpot, Java SE embedded edition",,,,,,,,,,,
"HotSpot, Zero port",,,,,,,,,,,
IKVM.NET,Any architecture with a .NET framework.,,,,,,,,,,
JAmiga,,,,,,,,,,,
JamVM,,,,,,,,,,,
Jato VM,,Under development[39],,,,Under development[39],Preliminary ARMv5 support[21],,,,
JC virtual machine,,,,,,,,,,,
Jikes RVM,,,,,,,,,,,
Kaffe,,,,,,,,,,,
Mysaifu JVM,,,,,,,,,,,
SableVM,,,,,,,,,,,
