NMDC hub,Windows,Linux,Mac OS X,Other
UFOHub,,,,
Eximius,,,,
PTDCH,,,,
Aquila,,,,
Dtella,,,,
HeXHub,,,,
Open Direct Connect Hub,,,,OpenWrt
Flexhub,,,,Qnap and Synology NAS Devices
openDCd,,,,
DDCH DevDirect Connect Hub,,,,
DBHub,,,,
PtokaX,,,,"FreeBSD, OpenBSD, NetBSD, Solaris, illumos, Haiku"
py-dchub,,,,Any Python compatible platform
RusHub,,,,"FreeBSD, Solaris"
VerliHub,,,,
Yhub,,,,
Ynhub,,,,
LamaHub,,,,"OS/2, OpenBSD, NetBSD, TrueOS, FreeBSD, ZeX/OS, Android[9]"
DC Sharp Hub,,,,
NMDC hub,Windows,Linux,Mac OS X,Other
