,Inverse search[5],DDE support[6],Organises Projects,Menu for inserting symbols,Document comparison,Spell-checking,Multiple undo-redo
AUCTeX,,,,,,,
Authorea,,,,,,,
Auto-Latex Equations for Google Docs,,,,,,,
CoCalc,,,,,,,
GNOME LaTeX,,,,,,,
Gummi,,,,,,,
Kile,,,,,,,
LEd,,?,,,,,
LyX,,?,,,,,
MeWa,,,,,,,
Notepad++,",",,,,,
Overleaf,,,,,,,
Scientific WorkPlace,,?,?,,,,
TexLab,,,,,,,
TeXmacs,,,,,,,
Texmaker,,,,,,,
TeXnicCenter,,,,,,,
TeXShop,,,,,,,
TeXstudio,,,,,,,
TeXworks,,,,,,,
Verbosus,,,,,,,
WinEdt,,,,,,,
WinShell,,,,,,,
,Inverse search,DDE Support,Organises Projects,Menu for inserting symbols,Document comparison,Spell-checking,Multiple undo-redo
