Name,Language,License,Type,Configurable titlebar buttons,Graphical configuration,Hotkeys,ICCCM/EWMH compliant,Panel for window switching,Tabbed windows,Themeable,Memory (MB)[1],Initial Release,Latest Stable Release
2bwm,C,,Stacking,,,,,,,,,,
9wm,C,MIT,Stacking,,,,,,,,0.4,1994,
aewm,C,MIT,Stacking,,,,,,,,,,
awesome,"C, Lua",GPL,Dynamic,,,,,,,,9,2007-09-18,
Berry,C,MIT,Stacking,,via CLI client,via CLI client and third party (e.g. sxhkd),,,,,,2018-08-24,2019-09-21
Blackbox,C++,MIT,Stacking,,third-party,with bbkeys,through 0.65 / from 0.70[2],,,,3,,
bspwm,C,BSD[3],Tiling,,,with sxhkd,,,,,,2013-04-23,
Compiz,C (OpenGL),MIT,Compositing,,,,,third-party,,,,2006,2016-11-11
cwm,C,ISC,Stacking,,,,,,,,,2004-07-10,2019-09-17
dwm,C,MIT,Dynamic,,,,,,,,1,2006-07-14,
Enlightenment,C,BSD,Compositing,,,,,,,,,1997,2019-08[4]
evilwm,C,MIT[5],Stacking,,,,,,,,,2000,2015-07-13
EXWM,Emacs Lisp,GPL,Tiling,,,,,,,,,,
Fluxbox,C++,MIT,Stacking,,third-party,,,,,,16,2001-09-12,2015-02-08
FLWM,C++ (FLTK),GPL,Stacking,,,,,There is a window list menu,,,,1998,
FVWM,C,GPL,Dynamic,,,,,,,third-party[9][10],4,1993-06-01,
i3,C,BSD,Dynamic,,,,,,,,3,2009-03-15,
IceWM,C++,LGPL,Stacking,,third-party,,,,,,4.5,1997,2020-09-17
Ion,"C, Lua",LGPL with naming restrictions on modified versions,Tiling,,,,,,,,,2000,2009-01-10
JWM,C,MIT (Formerly GPL),Stacking,,third-party,,EWMH,,,,3,2003,
KWin (KDE),C++ (Qt),GPL,Compositing,,,,,,,,41,,2019-01
Matchbox,C,GPL,Stacking,,,,EWMH compliance,,,,,2007-04-13,
Metacity (GNOME),"C, C++ (GTK+)",GPL,Compositing,,,,,,,,,2002-10,2016-09
Mutter (GNOME/MeeGo),C (Clutter),GPL,Compositing,,,,,Gnome Shell,,,18.6,2011-04,2018-09
mwm (Motif Window Manager),C,The Open Group Public License,Stacking,,,,,,,can change colours,,1989,
Openbox,C,GPL,Stacking,,third-party,,,third-party,,,7,2002-09-18,
PekWM,C++,GPL,Stacking,,,,,,,,5.3,,
PlayWM,C,GPL,Stacking,,,,,,,,,,
Ratpoison,C,GPL,Tiling,,,,,,,,1,2000-12-04,
Sawfish,"Lisp, C",GPL,Stacking,,,,,,primitive,,3.1,2000-01-01,
sithWM,C,GPL,Stacking,,,,,,,,,,
spectrwm,C,ISC,Dynamic,,,,,,,solid colors,,,
steamcompmgr,C [11],BSD-2-clause [12],Compositing,,,,,,,,,2013,
StumpWM,Common Lisp,GPL,Tiling,,,,,,,,,,
twm,C,MIT,Stacking,,,,,,,solid colors,1.2,1987,
WMFS,C,BSD,Tiling,,,,,,,,,,
Window Maker,C,GPL,Stacking,,,,,,,,7,1997,2017-03-11
Wingo,Go,WTFPL,Dynamic,,,,,,,,,,
wmii,C,MIT,Dynamic,,,,,,,,,2005-06-01,
Xfwm (Xfce),"C, C++ (GTK+)","GPL, LGPL",Compositing,,,,,,,,70,1996,2019-08-12
xmonad,Haskell,BSD,Dynamic,,,,Yes / ?,third-party,,,2,2007-03-06,
uwm,C,Similar to BSD license,Stacking,,,,,,,,,1985,
Name,Language,License,Type,Configurable titlebar buttons,Graphical configuration,Hotkeys,ICCCM/EWMH compliant,Panel for window switching,Tabbed windows,Themeable,Memory (MB),Initial release,Last Stable Release
