Name,H.264,ASF,WMV,DivX / Xvid,MPEG-4,AVI,QuickTime,Other formats
Archos 105,,,,,,,,
Archos 405,,,,,,,,
Archos 5,,,,,,,,"
Archos 605 WiFi / GPS,,,,,,,,
Archos 705 WiFi,,,,,,,,
Cowon A3,,,,,,,,"MKV, MTV, OGM, VOB, DAT, AMV, MJPEG, MPEG-1"
Cowon D2,,,,,,,,
Cowon Q5W,,,,,,,,OGM
Gigabeat T-Series,,,,,,,,
GP2X F-200,,,,,,,,
iPod (before Nano 6G; iPod 6G does),,,,,,,,
iriver clix 2G,,,,,,,,
PSP Slim & Lite,,,,,,,,MJPEG
Rio PMP300,,,,,,,,
Samsung Galaxy Player,,,,,,,,MKV
Samsung T10,,,,.svi only,,,,
Samsung P2,,,,.svi only,,,,
Sansa Fuze,,,,,,,,
Sansa Fuze+,,,,,,,,MPEG-4 Part 14
Walkman NWZ-A810 series,,,,,,,,
ZEN,,,,,,,,MJPEG
ZEN Vision W,,,,,,,,MJPEG
Zune,,,,,,,,
ZVUE 260,,,,Xvid only,,,,
